merchant,message_type,message
스타벅스,most_spent,커피 지출이 많네요! 텀블러를 활용해보세요
스타벅스,most_frequent,자주 방문하시네요! 리워드 혜택을 확인해보세요
김밥천국,most_spent,외식비 절약을 위해 가끔은 집밥을 드셔보세요
김밥천국,most_frequent,자주 가시네요! 쿠폰이나 할인 혜택을 찾아보세요
GS칼텍스,most_spent,주유비가 많이 나가네요! 대중교통 이용도 고려해보세요
GS칼텍스,most_frequent,자주 주유하시네요! 주유 할인카드를 활용하세요
카카오택시,most_spent,택시비 지출이 큽니다! 대중교통을 이용해보세요
카카오택시,most_frequent,택시를 자주 이용하시네요! 카풀이나 대중교통도 고려해보세요
CGV,most_spent,영화 관람 비용이 많네요! 할인 시간대를 이용해보세요
CGV,most_frequent,영화를 자주 보시네요! 멤버십 혜택을 확인하세요
넷플릭스,most_spent,구독료를 절약하려면 가족 공유를 고려해보세요
넷플릭스,most_frequent,구독 서비스를 잘 활용하고 계시네요!
맥도날드,most_spent,패스트푸드 지출이 많습니다! 건강한 대안을 찾아보세요
맥도날드,most_frequent,자주 방문하시네요! 앱 쿠폰을 활용하세요
이마트,most_spent,장보기 비용이 많네요! 할인 행사를 활용해보세요
이마트,most_frequent,자주 가시네요! 멤버십 포인트를 잘 활용하세요
쿠팡,most_spent,온라인 쇼핑 지출이 많습니다! 계획적인 구매를 해보세요
쿠팡,most_frequent,자주 구매하시네요! 로켓와우 멤버십을 고려해보세요
올리브영,most_spent,화장품 구매가 많네요! 세일 기간을 활용하세요
올리브영,most_frequent,자주 방문하시네요! 적립금과 쿠폰을 활용하세요
편의점,most_spent,편의점 지출이 많습니다! 대형마트 이용도 고려해보세요
편의점,most_frequent,자주 이용하시네요! 1+1 행사를 활용하세요
투썸플레이스,most_spent,카페 지출이 많네요! 가끔은 집에서 커피를 즐겨보세요
투썸플레이스,most_frequent,자주 방문하시네요! 포인트 적립을 확인하세요
배달의민족,most_spent,배달음식 지출이 많습니다! 직접 요리도 시도해보세요
배달의민족,most_frequent,자주 주문하시네요! 쿠폰과 할인을 활용하세요
네이버페이,most_spent,온라인 결제가 많네요! 포인트 적립을 확인하세요
네이버페이,most_frequent,자주 사용하시네요! 네이버 멤버십 혜택을 활용하세요
